ID,User,date,review,rating,type
8,dangtruongnguyen6234,"2023-07-26 21:38 | Phân loại hàng: Quà tặng,L","Màu sắc: hồngChất liệu: vảiĐúng với mô tả: đúngQuần hơi lỏng form hơn mình tưởng tượng nhưng nói chung vẫn ưng, mình 1m65 68kg khó mặc đồ nên mua về phải lên lai các kiểu nên cũng kh sao nè. Mặc vừa nhưng mỗi cái dài quá thui. Ok nha mn ơiiii",,normal
20,darkcomedy,"2021-05-24 23:09 | Phân loại hàng: Đen,L","Quần vải mịn lắm á ! Form rộng nữa, lói chung là đẹp",,normal
20,dec28,"2024-04-29 15:37 | Phân loại hàng: Đen,M",,,normal
17,diemquynh.quiin,"2022-12-15 14:25 | Phân loại hàng: Đen,M",Chất liệu: k bikMàu sắc: đenĐúng với mô tả: ok,,normal
10,dieulinh0801,"2023-11-14 00:56 | Phân loại hàng: QUẦN JEAN NHÚNG,S",Màu sắc: xanhgggChất liệu: jhong bietĐúng với mô tả: dung voi mo taXmdxfesJssvjssxvuo??::!,,normal
11,dinosaur1801,2023-06-26 13:17 | Phân loại hàng: Xanh Rêu - S,"Màu sắc: xanh rêuĐúng với mô tả: 10/10Chất liệu: jeanQuần đẹp, chất liệu đúng giá tiền. Cơ mà bụng quần siêu rộng so với một đứa một m58 44kí như mình dù đã là size S 🥲",,normal
11,dipdtn,"2024-04-05 18:07 | Phân loại hàng: Xanh Rêu Trơn,S","Chất liệu: tốtMàu nhạt hơn trong ảnh , nhưng giá rất oke , sản phẩm về cũng rất nhanh luôn ạ đáng tiền",,normal
13,djsjsjshsh,"2023-04-20 13:48 | Phân loại hàng: 5,S","Shop làm ăn uy tính, áo rất đẹp",,normal
18,doangialinh2709,"2023-06-12 14:22 | Phân loại hàng: Hình 8,S","đồ đẹp , dễ thương , chất lượng , mọi người nên ủng hộ shop nha , giao nhanh lúm",,normal
12,dohongthom1405,"2024-04-17 09:51 | Phân loại hàng: 11,M","Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này.",,normal
18,dohongthom1405,"2024-04-17 09:51 | Phân loại hàng: Trắng nơ,M","Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này.",,normal
